Trend,Tweet
#LoveIsBlind8,Where the Black people at?  #LoveIsBlind8
#LoveIsBlind8,all these white people who i can NOT tell apart #LoveIsBlind8
#LoveIsBlind8,The editing team this season when asked to include the few POC for more than 2 mins of airtime #LoveIsBlind #LoveIsBlind8
#LoveIsBlind8,"Coming from a gay, it’s lowkey a red flag to me when people talk like this

“That community”….

“that way”… 

kind of a clear sign that they aren’t comfortable with us if they can’t even just say the word gay out loud

#LoveisBlind #LoveisBlind8"
#LoveIsBlind8,"This guy David walks into the pods openly saying, ""I haven't always had integrity"" ""I used to treat women terribly"" and all the women are like ""omg pick me! let me hold all your red flags for you!"" I can't even. #LoveIsBlind8"
#LoveIsBlind8,Joey and Monica have the cutest meeting of all time though. Like two puppy dogs from a past life.  #LoveIsBlind8
#LoveIsBlind8,Maybe we need an all Black season #LoveIsBlind8
#LoveIsBlind8,"Devin became 100% sure that Virginia was The One AFTER Brittany told him she also likes girls and he questioned her integrity inquiring if she will cheat on him w/a woman.

Fuck this dude.
#LoveIsBlind #LoveIsBlindS8 #LoveIsBlind8"
#LoveIsBlind8,How does a man like Dave even make it onto the show? Don’t pmo #LoveIsBlind8
#LoveIsBlind8,Is the gene pool small in Minneapolis  because I genuinely cannot tell these guys apart #LoveIsBlind #LoveIsBlind8
#LoveIsBlind8,"Love is Blind Devin: I am a drug addict and wanted to KMS
Love is Blind Brittany: that’s okay I accept you, I am a bisexual
Devin:

#LoveIsBlind #LoveIsBlind8"
#LoveIsBlind8,"Alex’s gut instinct is top notch.
I was rooting for Madison, despite her apparent unresolved/ frequently discussed issues, until her interaction with Meg after the breakup with Mason. And expecting Alex to ""affirm"" her bashing Mason. #LoveIsBlind #LoveIsBlind8"
#LoveIsBlind8,"Confidence is my style, and love is my power.  When you wear both, you can conquer anything!  #Confidence #Love #PowerMoves #BINI #BiancaCensori #Grammys #MusicRevolution #SmackDown #DragRace #earthquake #SNL50HomecomingConcert #LoveIsBlind8"
#LoveIsBlind8,"The audacity of men to trauma dump on a woman, and then when she opens up, he can't handle it. Do we have any green flag men this season? I think not. #LoveIsBlind8"
#LoveIsBlind8,"Meg loves to hear herself talk, especially about aliens. #LoveIsBlind8"
#LoveIsBlind8,"that’s actually so so funny that the first couple engaged this season are people named Monica and Joey hahahahahhahahaah

#LoveIsBlind8 #LoveIsBlind"
#LoveIsBlind8,The show #LoveIsBlind is really dragging out the pods this season. Four episodes in and just 1 proposal. They’re rehashing the same conversations. #LoveIsBlind8 #loveisblinds8
#LoveIsBlind8,"I find it fascinating when ppl hear that someone is bisexual, pansexual, demisexual, etc., that the first thing they say to that person equates to asking them if they're a cheater or will be monogamous. 
Devin...
#LoveIsBlind #LoveIsBlindS8 #LoveIsBlind8"
#LoveIsBlind8,My face watching Meg talk: #LoveIsBlind8 #LoveIsBlindS8
#LoveIsBlind8,Joey and Monica meeting  #loveisblind8
#LoveIsBlind8,This is the yt-est season ever #LoveIsBlind8
#LoveIsBlind8,"Madison's so called ""honesty"" with Mason was full on trying to take control of this love triangle situation. He had no business telling him how that other woman felt. #LoveIsBlind8 #LoveIsBlindS8"
#LoveIsBlind8,"Just started episode 1 & if someone picks Dave, seek therapy. He’s a walking red flag. #LoveIsBlind8 #LoveIsBlind"
#LoveIsBlind8,"ugh not the one attractive man (mason) leaving lib, his good looks and attractive voice will be missed #LoveIsBlind #LoveIsBlind8"
#LoveIsBlind8,This season is literally the most boring one I’ve seen so far. I’ve fallen asleep like ten different times watching it #LoveIsBlind8
#LoveIsBlind8,"Joey is a catch! I really like him, he seems like the most genuine and noble guy there. His life experiences have made him have to grow up quick, he seems responsible and very gentle/loving (needs a haircut though)
#LoveIsBlind #LoveIsBlind8"
#LoveIsBlind8,"Joey is a catch! I really like him, he seems like the most genuine and noble guy there. His life experiences have made him have to grow up quick, he seems responsible and very gentle/loving (needs a haircut though)
#LoveIsBlind #LoveIsBlind8"
#LoveIsBlind8,I know that’s right Sarah!  Chileeee the privilege on the other end lbs #LoveIsBlind8 #LoveIsBlind
#LoveIsBlind8,"I’m
Already getting pissed off. This cast seem so vanilla, so dry and so boring. UGHHHH pleaseeeeeeee #LoveIsBlind #LoveIsBlind8"
